Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Alex Armah,DAL@WAS,2,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Braxton Berrios,BUF@MIA,2,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
Michael Carter,SEA@ARI,2,0,0,0,0,0,0,4,17,0,0,1,2,0,0,0,0
River Cracraft,BUF@MIA,2,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
John FitzPatrick,ATL@NO,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Leonard Fournette,BUF@MIA,2,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0
Royce Freeman,LA@SF,2,0,0,0,0,0,0,4,2,0,0,1,13,0,0,0,0
Eric Gray,PHI@NYG,2,0,0,0,0,0,0,3,19,0,0,1,9,0,0,0,0
Deonte Harty,BUF@MIA,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Connor Heyward,PIT@BAL,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Roschon Johnson,CHI@GB,2,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0
D.K. Metcalf,SEA@ARI,2,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Marvin Mims,DEN@LV,2,0,0,0,0,0,0,1,1,0,0,1,16,0,0,0,0
Luke Musgrave,CHI@GB,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
K.J. Osborn,MIN@DET,2,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
Cordarrelle Patterson,ATL@NO,2,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0
MyCole Pruitt,ATL@NO,2,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Drew Sample,CLE@CIN,2,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
Tyler Scott,CHI@GB,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Trevor Siemian,NYJ@NE,2,20,8,70,0,0,0,2,1,0,0,0,0,0,0,0,0
Equanimeous St. Brown,CHI@GB,2,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
Jack Stoll,PHI@NYG,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Laquon Treadwell,PIT@BAL,2,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
Tylan Wallace,PIT@BAL,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Parker Washington,JAX@TEN,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Ameer Abdullah,DEN@LV,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Blake Bell,KC@LAC,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Cartavious Bigsby,JAX@TEN,1,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0
Jake Bobo,SEA@ARI,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Lynn Bowden,ATL@NO,1,0,0,0,0,0,0,1,-2,0,0,1,5,0,0,0,0
Tyler Boyd,CLE@CIN,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Jalen Brooks,DAL@WAS,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Pharaoh Brown,NYJ@NE,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DeAndre Carter,DEN@LV,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Chase Claypool,BUF@MIA,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Randall Cobb,NYJ@NE,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Jamison Crowder,DAL@WAS,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Keelan Doss,KC@LAC,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Clyde Edwards-Helaire,KC@LAC,1,0,0,0,0,0,0,2,1,0,0,1,9,0,0,0,0
Gerald Everett,KC@LAC,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Mike Gesicki,NYJ@NE,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Xavier Gipson,NYJ@NE,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Dallas Goedert,PHI@NYG,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Kevin Harris,NYJ@NE,1,0,0,0,0,0,0,3,4,0,0,1,4,0,0,0,0
Julian Hill,BUF@MIA,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Kareem Hunt,CLE@CIN,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Xavier Hutchinson,HOU@IND,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Jalin Hyatt,PHI@NYG,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Ty Johnson,BUF@MIA,1,0,0,0,0,0,0,1,5,0,0,1,9,0,0,0,0
Tim Jones,JAX@TEN,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Terrace Marshall,TB@CAR,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
John Metchie,HOU@IND,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
David Moore,TB@CAR,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Foster Moreau,ATL@NO,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
DeVante Parker,NYJ@NE,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Rashaad Penny,PHI@NYG,1,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0
Brandon Powell,MIN@DET,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Cooper Rush,DAL@WAS,1,4,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles Sanders,TB@CAR,1,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0
