,Player,PPRFantasyPoints
894,Mike Daniels,0.0
895,John Ross,3.7
896,Christian Covington,0.0
897,Giovani Bernard,6.800000000000001
898,A.J. Green,10.1
899,Joe Mixon,6.1000000000000005
900,Carlos Dunlap,0.0
901,Cethan Carter,0.0
902,Auden Tate,0.0
903,D.J. Reader,0.0
904,Logan Wilson,0.0
905,Brandon Wilson,0.0
906,Germaine Pratt,0.0
907,Tee Higgins,0.0
908,William Jackson III,0.0
909,Khalid Kareem,0.0
910,Drew Sample,1.7000000000000002
911,Sam Hubbard,0.0
912,Kevin Huber,0.0
913,Darius Phillips,0.0
914,Tony Brown,0.0
915,Josh Bynes,0.0
916,Randy Bullock,0.0
917,Samaje Perine,0.0
918,Jordan Evans,0.0
919,Tyler Boyd,7.300000000000001
920,Fred Johnson,0.0
921,Trey Hopkins,0.0
922,Xavier Su'a-Filo,0.0
923,Carl Lawson,0.0
924,Jonah Williams,0.0
925,Jessie Bates III,0.0
926,Andrew Brown,0.0
927,C.J. Uzomah,8.5
928,Akeem Davis-Gaither,0.0
929,Bobby Hart,0.0
930,Mike Thomas,3.7
931,Clark Harris,0.0
932,Michael Jordan,0.0
933,Trey Pipkins,0.0
934,Tyree St. Louis,0.0
935,Tyrod Taylor,9.02
936,Alohi Gilman,0.0
937,Uchenna Nwosu,0.0
938,Drue Tranquill,0.0
